,categories,genres,id,is_free,playtime_forever,price,purchase_date,release_date,tags,total_negative_reviews,total_positive_reviews
0,"Single-player,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie",0,False,0.0,3700,2018-07-02,2013-12-10,"Indie,Adventure,Story Rich,Casual,Atmospheric,Exploration,First-Person,Stealth,Choices Matter,Singleplayer,Walking Simulator,Short,Drama",96.0,372.0
1,"Single-player,Partial Controller Support",RPG,1,True,0.016666667,0,2016-11-26,2015-08-12,"Mod,Utilities,RPG,Game Development,Singleplayer,Free to Play",0.0,23.0
2,"Single-player,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie",2,False,0.0,5000,2018-07-02,2014-01-28,"Point & Click,Adventure,Story Rich,Comedy,Indie,Funny,Kickstarter,Great Soundtrack,Singleplayer,Puzzle,Casual,Female Protagonist,2D,Masterpiece,Classic,Retro,Cult Classic,Crowdfunded,Episodic,Sci-fi",663.0,3018.0
3,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Action,RPG",3,False,1.533333333,9900,2016-11-28,2010-03-31,"Medieval,RPG,Open World,Strategy,Sandbox,Action,Multiplayer,Moddable,Military,Adventure,Horses,Realistic,Singleplayer,First-Person,Historical,Third Person,Simulation,Hack and Slash,Fantasy,Indie",1746.0,63078.0
4,"Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Strategy",4,False,22.33333333,4800,2018-03-04,2012-07-30,"Tower Defense,Co-op,Action,Strategy,Online Co-Op,Indie,Third Person,Fantasy,Multiplayer,Funny,Comedy,Third-Person Shooter,Singleplayer,Cartoony,RPG,Shooter,Adventure,Female Protagonist,Great Soundtrack,Controller",523.0,8841.0
5,"Single-player,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats",RPG,5,False,2.933333333,25800,,2019-03-26,"RPG,Open World,Survival,Co-op,Fantasy,Online Co-Op,Adventure,Local Co-Op,Singleplayer,Exploration,Split Screen,Souls-like,Third Person,Atmospheric,Violent,Multiplayer,Difficult,Resource Management,Realistic,Moddable",,
6,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Indie",6,False,2.616666667,3600,2018-02-16,2012-10-23,"Great Soundtrack,Action,Violent,Indie,Top-Down,1980s,Fast-Paced,Pixel Graphics,Gore,Psychedelic,Retro,Difficult,Singleplayer,Surreal,Shooter,2D,Addictive,Atmospheric,Music,Top-Down Shooter",1035.0,39776.0
7,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer",Simulation,7,True,0.15,0,2018-01-29,2016-04-28,"VR,Simulation,Utilities,Multiplayer",3.0,33.0
8,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,RPG",8,False,0.016666667,4000,2018-11-23,2014-02-25,"RPG,Turn-Based,Adventure,Fantasy,Great Soundtrack,Anime,Funny,Indie,Singleplayer,Comedy,JRPG,2D,Epic,Strategy,Turn-Based Combat,Action,Casual,Parody,Cats,Cute",39.0,1875.0
9,"Single-player,Steam Achievements,SteamVR Collectibles,Steam Cloud","Action,Adventure",9,False,0.016666667,8800,2017-12-22,2017-10-17,"Action,Adventure,VR,Shooter,Puzzle,FPS,First-Person",11.0,47.0
10,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure",10,False,0.0,6800,2018-01-30,2010-09-23,"Action,Adventure,Hack and Slash,Third Person,Singleplayer,Post-apocalyptic,Fantasy,Controller,Action RPG,Puzzle,Action-Adventure,RPG,Open World,Gore,Beat 'em up,Metroidvania,Spectacle fighter,3D Platformer,Character Action Game,Platformer",700.0,5893.0
11,"Single-player,Steam Cloud","Adventure,Indie,RPG,Strategy",11,False,0.0,2500,2017-06-23,2013-11-13,"RPG,Post-apocalyptic,Classic,Turn-Based,Adventure,Strategy,Retro,Sci-fi,Indie,2D,Singleplayer,Old School,CRPG,Masterpiece,Pixel Graphics,Action,Open World,1980s,Great Soundtrack",35.0,148.0
12,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Partial Controller Support",Action,12,True,0.0,0,2019-07-20,2018-12-11,"Action,VR,Multiplayer",260.0,110.0
13,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure,Indie,RPG",13,False,20.56666667,3300,2016-10-09,2016-08-31,"Action,Multiplayer,Adventure,Rogue-like,Co-op,RPG,Local Co-Op,Indie,Dungeon Crawler,2D,Beat 'em up,Rogue-lite,Replay Value,Hack and Slash,Difficult,Side Scroller,Loot,Action RPG,Pixel Graphics,Singleplayer",1058.0,9659.0
14,"Single-player,Local Multi-Player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Casual,Indie,Simulation",14,False,0.6333333329999999,5700,2018-06-13,2016-08-03,"Local Co-Op,Local Multiplayer,Co-op,Multiplayer,Family Friendly,4 Player Local,Casual,Funny,Co-op Campaign,Indie,Simulation,Action,Singleplayer,Cute,Colorful,Difficult,Great Soundtrack,Split Screen,Adventure,Memes",551.0,5871.0
15,"Single-player,Multi-player,Co-op,Valve Anti-Cheat enabled,Stats,Steam Leaderboards","Adventure,Simulation,Strategy",15,True,0.016666667,0,2017-09-16,2010-07-06,"Space,Simulation,Free to Play,Multiplayer,Online Co-Op,Funny,Strategy,Adventure,Open World,Memes,Walking Simulator,Co-op,Sandbox,Realistic,Comedy,Third Person,Massively Multiplayer,Singleplayer,First-Person,Puzzle",30.0,167.0
16,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Action,Adventure,Indie,RPG",16,False,3.3,6800,2018-01-13,2012-09-20,"RPG,Action RPG,Hack and Slash,Co-op,Dungeon Crawler,Loot,Fantasy,Online Co-Op,Multiplayer,Action,Adventure,Singleplayer,Indie,Moddable,Character Customization,Isometric,Replay Value,Steampunk,Atmospheric,Cartoon",1289.0,21566.0
17,"Single-player,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Indie,Simulation",17,False,0.0,11200,2019-05-30,2015-04-27,"Space,Simulation,Sandbox,Physics,Science,Space Sim,Building,Moddable,Indie,Education,Open World,Singleplayer,Exploration,Funny,Sci-fi,Adventure,Difficult,Replay Value,Strategy,Comedy",4042.0,43103.0
18,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Simulation,Strategy",18,False,0.0,11200,2018-02-18,2016-05-09,"Space,Strategy,Grand Strategy,Sci-fi,4X,Real-Time with Pause,Exploration,Multiplayer,RTS,Singleplayer,Replay Value,Great Soundtrack,Simulation,Moddable,Sandbox,Atmospheric,Open World,Story Rich,Building,Adventure",7777.0,30934.0
19,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Indie,Simulation,Strategy",19,False,0.0,3600,2018-12-21,2015-04-16,"Strategy,Indie,Simulation,Space,Sci-fi,Moddable,Great Soundtrack",115.0,74.0
